INFO:root:Vanila_GAN_on_MNIST:
    - model name: Vanila_GAN
    - optimizer: Adam
    - learning rate: 0.0002
    - weight_decay: 0.0001
    - step_size: 200
    - gamma: 0.5
    - batch size: 512
    - device : cuda:0
    - epochs: 1000
    - load_checkpoint: False
    - mutil_gpu: True
    - gpus: ['cuda:0', 'cuda:1']
 
INFO:root:epoche 0, gen loss = 0.707165, dis loss = 0.621650
INFO:root:epoche 1, gen loss = 0.724049, dis loss = 0.579662
INFO:root:epoche 2, gen loss = 0.282286, dis loss = 0.816999
INFO:root:epoche 3, gen loss = 0.831285, dis loss = 0.430030
INFO:root:epoche 4, gen loss = 1.197107, dis loss = 0.576546
INFO:root:epoche 5, gen loss = 1.195033, dis loss = 0.544519
INFO:root:epoche 6, gen loss = 1.069575, dis loss = 0.535983
INFO:root:epoche 7, gen loss = 0.313741, dis loss = 0.749582
INFO:root:epoche 8, gen loss = 1.379626, dis loss = 0.572794
INFO:root:epoche 9, gen loss = 0.931281, dis loss = 0.496619
INFO:root:epoche 10, gen loss = 1.088107, dis loss = 0.553877
INFO:root:epoche 11, gen loss = 1.087540, dis loss = 0.411563
INFO:root:epoche 12, gen loss = 1.441960, dis loss = 0.410565
INFO:root:epoche 13, gen loss = 0.707602, dis loss = 0.538953
INFO:root:epoche 14, gen loss = 0.542930, dis loss = 0.504055
INFO:root:epoche 15, gen loss = 0.526332, dis loss = 0.618629
INFO:root:epoche 16, gen loss = 1.231902, dis loss = 0.436206
INFO:root:epoche 17, gen loss = 0.869110, dis loss = 0.498661
INFO:root:epoche 18, gen loss = 1.786617, dis loss = 0.627067
INFO:root:epoche 19, gen loss = 1.042308, dis loss = 0.543812
INFO:root:epoche 20, gen loss = 1.101131, dis loss = 0.477908
INFO:root:epoche 21, gen loss = 1.579576, dis loss = 0.438469
INFO:root:epoche 22, gen loss = 1.593857, dis loss = 0.362686
INFO:root:epoche 23, gen loss = 2.091427, dis loss = 0.620670
INFO:root:epoche 24, gen loss = 1.249876, dis loss = 0.418723
INFO:root:epoche 25, gen loss = 1.181327, dis loss = 0.419212
INFO:root:epoche 26, gen loss = 0.867974, dis loss = 0.431184
INFO:root:epoche 27, gen loss = 1.035747, dis loss = 0.404811
INFO:root:epoche 28, gen loss = 1.077454, dis loss = 0.421505
INFO:root:epoche 29, gen loss = 2.284056, dis loss = 0.601445
INFO:root:epoche 30, gen loss = 0.763861, dis loss = 0.493186
INFO:root:epoche 31, gen loss = 0.850787, dis loss = 0.510922
INFO:root:epoche 32, gen loss = 2.189985, dis loss = 0.581610
INFO:root:epoche 33, gen loss = 1.624805, dis loss = 0.493850
INFO:root:epoche 34, gen loss = 2.007140, dis loss = 0.404421
INFO:root:epoche 35, gen loss = 1.062897, dis loss = 0.459945
INFO:root:epoche 36, gen loss = 0.897366, dis loss = 0.544364
INFO:root:epoche 37, gen loss = 1.562548, dis loss = 0.557778
INFO:root:epoche 38, gen loss = 0.977353, dis loss = 0.421812
INFO:root:epoche 39, gen loss = 1.329197, dis loss = 0.474315
INFO:root:epoche 40, gen loss = 1.245193, dis loss = 0.419903
INFO:root:epoche 41, gen loss = 1.871131, dis loss = 0.472444
INFO:root:epoche 42, gen loss = 1.475767, dis loss = 0.549995
INFO:root:epoche 43, gen loss = 1.729967, dis loss = 0.466770
INFO:root:epoche 44, gen loss = 1.149771, dis loss = 0.408464
INFO:root:epoche 45, gen loss = 1.522966, dis loss = 0.428725
INFO:root:epoche 46, gen loss = 1.274809, dis loss = 0.473311
INFO:root:epoche 47, gen loss = 1.167888, dis loss = 0.416468
INFO:root:epoche 48, gen loss = 2.046175, dis loss = 0.671605
INFO:root:epoche 49, gen loss = 0.514720, dis loss = 0.687079
INFO:root:epoche 50, gen loss = 1.749223, dis loss = 0.456128
INFO:root:epoche 51, gen loss = 0.996049, dis loss = 0.469572
INFO:root:epoche 52, gen loss = 1.008420, dis loss = 0.460596
INFO:root:epoche 53, gen loss = 2.659977, dis loss = 0.674464
INFO:root:epoche 54, gen loss = 2.886430, dis loss = 0.904751
INFO:root:epoche 55, gen loss = 0.662841, dis loss = 0.634777
INFO:root:epoche 56, gen loss = 1.118607, dis loss = 0.460700
INFO:root:epoche 57, gen loss = 1.754082, dis loss = 0.358567
INFO:root:epoche 58, gen loss = 1.308144, dis loss = 0.458633
INFO:root:epoche 59, gen loss = 1.623575, dis loss = 0.527379
INFO:root:epoche 60, gen loss = 1.052634, dis loss = 0.421082
INFO:root:epoche 61, gen loss = 3.191728, dis loss = 1.014440
INFO:root:epoche 62, gen loss = 1.301292, dis loss = 0.377621
INFO:root:epoche 63, gen loss = 1.171809, dis loss = 0.343180
INFO:root:epoche 64, gen loss = 1.096845, dis loss = 0.401431
INFO:root:epoche 65, gen loss = 1.812779, dis loss = 0.360612
INFO:root:epoche 66, gen loss = 1.447929, dis loss = 0.385239
INFO:root:epoche 67, gen loss = 1.225926, dis loss = 0.429396
INFO:root:epoche 68, gen loss = 2.946174, dis loss = 0.817706
INFO:root:epoche 69, gen loss = 1.077866, dis loss = 0.423112
INFO:root:epoche 70, gen loss = 1.683108, dis loss = 0.551843
INFO:root:epoche 71, gen loss = 0.857799, dis loss = 0.530584
INFO:root:epoche 72, gen loss = 1.415405, dis loss = 0.509733
INFO:root:epoche 73, gen loss = 1.527597, dis loss = 0.381691
INFO:root:epoche 74, gen loss = 1.161419, dis loss = 0.515130
INFO:root:epoche 75, gen loss = 1.119238, dis loss = 0.386704
INFO:root:epoche 76, gen loss = 1.260774, dis loss = 0.399676
INFO:root:epoche 77, gen loss = 1.720505, dis loss = 0.336359
INFO:root:epoche 78, gen loss = 0.493270, dis loss = 0.736656
INFO:root:epoche 79, gen loss = 1.126584, dis loss = 0.432171
INFO:root:epoche 80, gen loss = 1.336628, dis loss = 0.381922
INFO:root:epoche 81, gen loss = 1.253974, dis loss = 0.525603
INFO:root:epoche 82, gen loss = 1.104496, dis loss = 0.461965
INFO:root:epoche 83, gen loss = 1.756820, dis loss = 0.615561
INFO:root:epoche 84, gen loss = 1.054209, dis loss = 0.428431
INFO:root:epoche 85, gen loss = 2.460859, dis loss = 0.501531
INFO:root:epoche 86, gen loss = 1.036164, dis loss = 0.445246
INFO:root:epoche 87, gen loss = 1.077199, dis loss = 0.410710
INFO:root:epoche 88, gen loss = 2.200123, dis loss = 0.524266
INFO:root:epoche 89, gen loss = 1.167677, dis loss = 0.406868
INFO:root:epoche 90, gen loss = 1.642290, dis loss = 0.453048
INFO:root:epoche 91, gen loss = 1.122316, dis loss = 0.368591
INFO:root:epoche 92, gen loss = 2.767670, dis loss = 1.016054
INFO:root:epoche 93, gen loss = 1.389450, dis loss = 0.417153
INFO:root:epoche 94, gen loss = 2.044110, dis loss = 0.559185
INFO:root:epoche 95, gen loss = 1.317742, dis loss = 0.336667
INFO:root:epoche 96, gen loss = 1.083051, dis loss = 0.451254
INFO:root:epoche 97, gen loss = 1.074002, dis loss = 0.420345
INFO:root:epoche 98, gen loss = 1.755790, dis loss = 0.333944
INFO:root:epoche 99, gen loss = 1.446981, dis loss = 0.359169
INFO:root:epoche 100, gen loss = 1.350763, dis loss = 0.334991
INFO:root:epoche 101, gen loss = 1.218167, dis loss = 0.495788
INFO:root:epoche 102, gen loss = 1.176371, dis loss = 0.403394
INFO:root:epoche 103, gen loss = 1.372856, dis loss = 0.314087
INFO:root:epoche 104, gen loss = 1.284762, dis loss = 0.407855
INFO:root:epoche 105, gen loss = 2.062431, dis loss = 0.497850
INFO:root:epoche 106, gen loss = 1.040475, dis loss = 0.527631
INFO:root:epoche 107, gen loss = 1.526710, dis loss = 0.505098
INFO:root:epoche 108, gen loss = 0.864372, dis loss = 0.640070
INFO:root:epoche 109, gen loss = 1.353871, dis loss = 0.334916
INFO:root:epoche 110, gen loss = 1.321712, dis loss = 0.373683
INFO:root:epoche 111, gen loss = 1.297391, dis loss = 0.393579
INFO:root:epoche 112, gen loss = 1.310193, dis loss = 0.402242
INFO:root:epoche 113, gen loss = 1.795279, dis loss = 0.448935
INFO:root:epoche 114, gen loss = 1.338846, dis loss = 0.452483
INFO:root:epoche 115, gen loss = 1.171906, dis loss = 0.446960
INFO:root:epoche 116, gen loss = 1.072230, dis loss = 0.463085
INFO:root:epoche 117, gen loss = 1.522231, dis loss = 0.351722
INFO:root:epoche 118, gen loss = 1.599275, dis loss = 0.391511
INFO:root:epoche 119, gen loss = 1.167335, dis loss = 0.372779
INFO:root:epoche 120, gen loss = 1.576325, dis loss = 0.344917
INFO:root:epoche 121, gen loss = 1.443168, dis loss = 0.377102
INFO:root:epoche 122, gen loss = 1.186359, dis loss = 0.388605
INFO:root:epoche 123, gen loss = 1.261546, dis loss = 0.544234
INFO:root:epoche 124, gen loss = 1.416949, dis loss = 0.385077
INFO:root:epoche 125, gen loss = 1.049753, dis loss = 0.421993
INFO:root:epoche 126, gen loss = 1.428975, dis loss = 0.365150
INFO:root:epoche 127, gen loss = 1.486785, dis loss = 0.319121
INFO:root:epoche 128, gen loss = 1.256735, dis loss = 0.442755
INFO:root:epoche 129, gen loss = 1.945299, dis loss = 0.535745
INFO:root:epoche 130, gen loss = 0.978081, dis loss = 0.406255
INFO:root:epoche 131, gen loss = 1.319650, dis loss = 0.398449
INFO:root:epoche 132, gen loss = 1.306530, dis loss = 0.387259
INFO:root:epoche 133, gen loss = 1.341376, dis loss = 0.449656
INFO:root:epoche 134, gen loss = 1.368401, dis loss = 0.413892
INFO:root:epoche 135, gen loss = 1.251090, dis loss = 0.390312
INFO:root:epoche 136, gen loss = 1.521805, dis loss = 0.389331
INFO:root:epoche 137, gen loss = 1.160573, dis loss = 0.428536
INFO:root:epoche 138, gen loss = 2.163927, dis loss = 0.587777
INFO:root:epoche 139, gen loss = 1.671778, dis loss = 0.332039
INFO:root:epoche 140, gen loss = 1.142245, dis loss = 0.417707
INFO:root:epoche 141, gen loss = 1.500943, dis loss = 0.381530
INFO:root:epoche 142, gen loss = 1.249585, dis loss = 0.450092
INFO:root:epoche 143, gen loss = 1.044592, dis loss = 0.438110
INFO:root:epoche 144, gen loss = 1.378335, dis loss = 0.431915
INFO:root:epoche 145, gen loss = 1.743853, dis loss = 0.466685
INFO:root:epoche 146, gen loss = 0.982443, dis loss = 0.536131
INFO:root:epoche 147, gen loss = 1.000455, dis loss = 0.493698
INFO:root:epoche 148, gen loss = 1.200277, dis loss = 0.395971
INFO:root:epoche 149, gen loss = 1.864771, dis loss = 0.282278
INFO:root:epoche 150, gen loss = 1.260980, dis loss = 0.445697
INFO:root:epoche 151, gen loss = 1.534584, dis loss = 0.404979
INFO:root:epoche 152, gen loss = 1.164092, dis loss = 0.412450
INFO:root:epoche 153, gen loss = 1.252767, dis loss = 0.287820
INFO:root:epoche 154, gen loss = 1.268472, dis loss = 0.459669
INFO:root:epoche 155, gen loss = 2.164681, dis loss = 0.357137
INFO:root:epoche 156, gen loss = 1.375909, dis loss = 0.347241
INFO:root:epoche 157, gen loss = 1.348387, dis loss = 0.457479
INFO:root:epoche 158, gen loss = 1.473257, dis loss = 0.415525
INFO:root:epoche 159, gen loss = 1.580497, dis loss = 0.321128
INFO:root:epoche 160, gen loss = 1.475053, dis loss = 0.466175
INFO:root:epoche 161, gen loss = 1.188722, dis loss = 0.338713
INFO:root:epoche 162, gen loss = 1.473737, dis loss = 0.401961
INFO:root:epoche 163, gen loss = 1.238106, dis loss = 0.402797
INFO:root:epoche 164, gen loss = 1.477113, dis loss = 0.414699
INFO:root:epoche 165, gen loss = 1.474519, dis loss = 0.459361
INFO:root:epoche 166, gen loss = 1.301598, dis loss = 0.327813
INFO:root:epoche 167, gen loss = 1.338792, dis loss = 0.474945
INFO:root:epoche 168, gen loss = 1.300519, dis loss = 0.331465
INFO:root:epoche 169, gen loss = 1.011183, dis loss = 0.463770
INFO:root:epoche 170, gen loss = 1.681950, dis loss = 0.298802
INFO:root:epoche 171, gen loss = 2.156640, dis loss = 0.466316
INFO:root:epoche 172, gen loss = 1.394925, dis loss = 0.445664
INFO:root:epoche 173, gen loss = 1.303380, dis loss = 0.352422
INFO:root:epoche 174, gen loss = 0.878081, dis loss = 0.696841
INFO:root:epoche 175, gen loss = 0.923653, dis loss = 0.433765
INFO:root:epoche 176, gen loss = 1.631906, dis loss = 0.256744
INFO:root:epoche 177, gen loss = 1.463906, dis loss = 0.378665
INFO:root:epoche 178, gen loss = 2.051048, dis loss = 0.393308
